상품명,가격,배송비,url
Apple 아이폰 15프로맥스 256GB Apple 미개봉 새상품,"690,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=QanP1TlzmPh4hLkllsiXw%2F%2F%2F%2Fw%3D%3DsJu4XvGvPT0um%2BQ%2B7WgFZaDDG8l%2F4%2Fq1tq2YyWS7iGdrxTAJR5s3V3RheLYZrm3hThQx%2FBxLlQwjGZtYPh1x%2FpWg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUEfgrM5HQzlTMQ9S1ZukRB54Qz6BmkUWnhlyhzEn3pxv5pu%2F3%2FpQ545OibOGRoXWVRL6iu0rN9ANYEXkZX8p%2BoSEm%2FeWMmjv1VUimPr%2BbdY5MkY3PSX3LrVpvF0aR8d8bri3UMVU2rBl19rigmU%2F%2FbAlIoSvKTA%2Ffvxn7nqCVPzyk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdH%2B3H%2FEYI%2F2ygyLBGXCtDB%2F3Mn23ws1UI47kbcr3GbjygzRGQMqXBWNWeUALR9IuSueAud9zdB%2BvEjLOocdHSNuP%2F%2B5wkSiYCbRZC7afSTojHl4jjft6pRFC0vrx0tvPu9MQ%2BsagY9Ykr3TvG0OpF4gV%2FNF8WAlIAkoI38fKMjjMt4mDhQ8cJwHrFFNLYE5W7MZzisxHuyEDbPbWMmh%2BVYPzS42rtcYYotJ7v7rVrzGw%2F4%2FIrlX%2F1ywxNzjp2P2xq8v39uz%2BSkyD4t8fUjj4Pods4kSnIUT%2B3twRsCCJRLf5IWLxjCCUxchpLaqS%2B%2FYVuhR1YtA1zFrw3hYtTaYxIuyWcrZw%2B%2BpSxrRmDG996hZoWsMOhhKjnGP2s%2BvL3RhDVS%2Fob%2FgnFk0NkFdpGXuJWBFvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=90887142112&catId=50001519
Apple 아이폰17프로맥스 256GB Apple 미개봉 새상품,"1,000,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=YYkcnmlsiVQaBklgqnInKv%2F%2F%2Fw%3D%3DsROODie2rJCb%2FVHk3GrOCQ0fpJ6rZLgwU%2BbYU%2B4J%2BaixyoYErd7Wx1dfdVO6hh7qVHBZzF1YFjgW%2BLhrYmNMEE8KdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiByaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF2f93PX4P1mJrmhaaembAEK0CJDJlVzUv6Hh7a9pJH55RKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyJyRhsX7ey8f7ic1qyZrcAu5Wh7CYBk4EBfN%2FeMeApqlK98KaIZa4VBE0V5wqYGSTlL5lit6B2eXe%2BNXAwrOVCqQoF9qinDJPXbCsr3rbDZdVDcn730RNf8y0MSNUKFNzqhc%2Be64dvjtVLOvhQQ6Y9pmjFU81aDND7%2FJQAaUf4bjOo0DvrMIJzkjPS4M2BEUZyFcc45kyknzRfkxFP2%2FNta3gQs%2FKuWI5B2UByh4gBib%2BChtMjxwcIu9zwhFadDfMFmtLq7ZOhs9YwDz5qtKg7kdoQdD7z4VTZnGHOZl9gKWLTdjc4Vj69wnHEOHfKM0yQIrpLiKm6NOGMAonlSKwbANPeSzeY80QFuMytGtHBQpk1UUI2Dw7VwgnHif8g2EWNfObbm101bdsXsRiXI8R%2FXjQ8T%2FmBAW2E9tbp%2Fo2mPvHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=90912309226&catId=50001519
아이폰17 에어 256GB 미개봉 새상품,"745,930원",배송비무료,https://cr.shopping.naver.com/adcr?x=dTVaHeFlrAfuwtjXNV8tvf%2F%2F%2Fw%3D%3DsTRZDu1s%2Bia%2BQQH930jo9Tyqg2lhtdPd6gRIC8GXt5C7xTAJR5s3V3RheLYZrm3hTqOzGk9gmE%2Ff%2FGTAF6ylN1Gg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUEfgrM5HQzlTMQ9S1ZukRB54Qz6BmkUWnhlyhzEn3pxvqamEf3T6F%2FpoACRuj%2F4U8zdW2XDHPcK4BQg5UXIk9mceV07a0nG2I9Siwlb%2BTsc%2BwluQH1%2FWHH%2BSkAeF2hifOb6%2BPRwSkNKUEPl%2F2QXwvqBK9QgHfTU%2BVyALB3hwFVp5RgfgIxv%2FR3EgOfuIoRvWLWROQznUqG5Gr01zhXEbW6ODnQF4cfSMisNtEUCEU0XJ%2FtIGqF9astvo%2BgD9gosiLG713T2OvrOytQUZmbjP9rCGHDvsGQoUHd%2FG2Ez5s1IA%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSeg5pZTMMxFhhJpU2pNSBVV279pkO6dSeK9qS35%2BoZQ4craxTidwazy6SforqHVGROH6LPO9Kq8mJDFHtcxS3PPollQ34hpmLji0J7bfnwyFOWAVtxD%2F%2Bkaq4R3cvqEeX0pptW4K22htEUbVyQpOVWejg6ErvNHAwMO5K8lK3yFM5FCJLeTNMiIpdd72TMnUFRwQTp5IDVDpALUCNfjE4jTJI3ZTpLGVKsOJcWgBbI9NCiKbyoHxfuzt%2FP%2Fi5DPytCURYlG0kUMCfb1TNq19EtX5RuMF%2F%2F5KghP9grJMzkkHuNiFgIp6Q8IO9tMwX%2FAlCl89wKk2pgYm7obI%2FIlKG10a7%2F3HLxiY%2FohIZtRQKGiRFWCfZBwUWEihiVI7Mz3KeTh0cjwVm1BUYVknE7IEMpz4%3D&nvMid=58572682535&catId=50001519
애플 아이폰 16e 256GB 미개봉 새상품,"583,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=8HM%2BgXKIhl5pzBUiqpXHXf%2F%2F%2Fw%3D%3DsaSquA%2FEt6hIijZXj%2FD%2FInB15F9nZRJ91B0Dh3JkCSkxyoYErd7Wx1dfdVO6hh7qV3zLcedLhF2fqEV%2BklFAhQcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiByaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF2DHj52S3kCvW%2By1njo%2FAQq0CJDJlVzUv6Hh7a9pJH55RKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyKjj6PHymRl%2BiZ5LvT3YVoAhDWChOBwya24kvIFJ4VR5K98KaIZa4VBE0V5wqYGSTlL5lit6B2eXe%2BNXAwrOVCqQoF9qinDJPXbCsr3rbDZdVDcn730RNf8y0MSNUKFNzqhc%2Be64dvjtVLOvhQQ6Y9oBv145bQzaRK4LtA%2BewBU%2BAAcgu6ac%2BblicUfGLD0vZwdzROVXKj70AsCVBVNDMr%2FrIPh7IdGYvUzoFJvU2wZbnV%2F3tTaN3o4%2B0RfveE00nObd7IPwVdH9ThzIlmabD%2FdsyoU4oHGbcvXX0x7ghw6MVqRHqZXPMBSBOrFluJ%2BlaT6HOqwBJXvmJ13eRXKRWoZXPecqafJVj9JjO2EqxQ6wTib0VG6AAY20Y5CID9DjKc3bQcHl3eXDHWWhf4mdOIUGruH08DlKshetxY8KUEZb&nvMid=89835399469&catId=50001519
Apple 아이폰 16프로 256GB Apple 미개봉 새상품,"690,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=zsLjT1FiY%2BuibnFAtPfYHf%2F%2F%2Fw%3D%3DsXwcbyXPxaSTFCFTiKM3HCZR5OiFOzzZf%2FIRGrg%2FN%2BNQAjU5j3gjlMYsRq8%2BGHFpSZEKE3kxe9o6D6gS8x2ZqSjXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcViUIblkks2eyOgX%2BoRrcWw9o3nY7XhpnrMTEPxBahsZVWdw2WpgtT4qzFy1Pl2l9ahNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpXRn0ypk6MsSRTI3s%2FTa3Askg1I9hSXwGUDC73SU%2FUkFwDSTqYGbTeoaBA3waq3vZ5VXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv3CiNVoVe0hhbff2cuDNT3u2KyTLFIGRoP3T3RL0XIZZ2HvQrG1q57G6KIPveES%2FyEQoITpGv0Gncp5dRHQw%2FfGob%2B7UOGYmvDWlhr8XfERqmBxehVBQ1yVoxbl9xtY7lZ5X9DGIsGH1dXWrvCnsy2rwqTwn0X6%2FVia%2BF8XjwJV%2B6TGaX0K5T25xvupln2kdMEEFtguAX%2BVoC48RQDUQjstYcKEZHVPnF5pqb0UIR1DHzFpRTAy1VVLOUYKiAbezncv39uz%2BSkyD4t8fUjj4Pods4kSnIUT%2B3twRsCCJRLf5%2B0cTQT8i6ws5hKz0k3dvzBR1YtA1zFrw3hYtTaYxIuyWcrZw%2B%2BpSxrRmDG996hZoNqgEvbb1ZzwOfcj6sJwR07acMccUQIycQy1orAggOipvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=90886762658&catId=50001519
아이폰 17프로 512GB Apple 미개봉 새상품,"1,108,380원",배송비무료,https://cr.shopping.naver.com/adcr?x=8PAa2u4KcvAeGXqm2cpvcP%2F%2F%2Fw%3D%3DsKU7nQ1udODCBMncxLYM9Vx59PbFWM3RvPa5gXBMr70lyoYErd7Wx1dfdVO6hh7qVlFJvlDL1M6tXVZ7OFgZrmsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiBFxq2b0Ha94BJbSQZrwlFpUre%2FP2d8vXo0%2Bm0aE8BwvVvPRvp83%2B7AUiIoxCDhyW2%2Br%2B6jjNyojp4o2AKISHVh9PEqB6HynbIwx9W3LZozY%2FbphGtSALXK%2BNoJmI7VOqcDvJbtkuP2rz6XLVgxyOImMI3jBK6rjMltjiuA8jXg%2FC1aiDVTLISVJDW7lNDTxTmTlvfl122gSknMCN1pfhhjsv%2BjB2erv%2BZ%2Brrs5VHOiTRLlIk0uAh1LVcUK1nkYRMYpe0uQ5MdfBoPNKPrJdEsu0RGRjYapwtTDpAWK4wvajbYe9CsbWrnsboog%2B94RL%2FIRCghOka%2FQadynl1EdDD98ahv7tQ4Zia8NaWGvxd8RGqYHF6FUFDXJWjFuX3G1juVnlf0MYiwYfV1dau8KezLauUSg3v5QDc%2FyLToB%2BeIN19XHmMNVwCEQNmaInYRbIxbkcJhBU0uTW5xNjhnsS1ThTaffPPybeYHU1AW%2Bte6CMqzfvJDzKn3yTph%2BZ93Urz0iKbyoHxfuzt%2FP%2Fi5DPytCfhstfIMsHTVt21v0BBO3VzCjGMuHOwrODeQ6jXed9LoNiFgIp6Q8IO9tMwX%2FAlCl%2B%2BSr%2FTISiskIEOPy%2BBSuw826fT7otm4NIrb7sqdUYcwD2ky0DgtRJGE1Mhy68gUDx0cjwVm1BUYVknE7IEMpz4%3D&nvMid=58489812226&catId=50001519
[대여] 아이폰17 프로 대여 1일 단기 렌탈,"19,800원","배송비3,000원",https://cr.shopping.naver.com/adcr?x=mtC4dXmlNVXglvQJKURQJv%2F%2F%2Fw%3D%3Dst2IkwiNDAyATl1XWaqGGksO6Cw9pyAcz0bGtVdtqKWdyoYErd7Wx1dfdVO6hh7qVuLGh37ZguwsXpm%2BH5%2F5e%2F8KdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiByaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1F%2FWF1Ef1jJJJ%2FDORBUlya0CJDJlVzUv6Hh7a9pJH55RKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyK62Xc95QI4OFr7hKD4WCfUpNHTYDe%2B4FC8NOGDAE79GAeuQKgRq6z4fGpaOnMSDdlL5lit6B2eXe%2BNXAwrOVCqQoF9qinDJPXbCsr3rbDZdVDcn730RNf8y0MSNUKFNzqhc%2Be64dvjtVLOvhQQ6Y9pgYR84O5JGYE8qiFPW1N2yquqQlzB5M73HS5s3m8ZyrlB5dRjo0cSMbnBIRXLMvEPrrl72OgsQdP177xGWaZkLtaK6xD8%2FgkKTy2nwT4Y5XDOX1J3IXUrRFBMTUUULnFtvhjRd2OIFexBQhZJEIyksP%2F9Y6k6loB0iJsjDYZYxZWtY0vFGtYcImi51jMcKK8ZKu%2Fq%2BzzyyF3OgxIE37R76PNPp1KD734fijhHAdI12W79bfkM30rCCOCCeTFVx44JoaKZHilHbuauHUigNM5KA&nvMid=89970471330&catId=50000249
Apple 아이폰17 프로맥스 자급제 모아보기 색상/용량 선택,"1,990,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=HA3QiXJvwrqVIbFJUKRSo%2F%2F%2F%2Fw%3D%3DsuqoeGe3138oYL%2Bh9Vm4%2FM%2BXpeh3Cf1qFIkFLa2Xf6Y4AjU5j3gjlMYsRq8%2BGHFpS74os4F8tafLfX2paUV6j6DXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcViUIblkks2eyOgX%2BoRrcWw9o3nY7XhpnrMTEPxBahsZVWdw2WpgtT4qzFy1Pl2l9ah83Hd%2FMBIIhr38vFu%2BvG0owZskL6yDBLDhBo2NNhhqQnHI9LI0O0kpbw8XHProF7FErXq9acxqpHr6xyqUT4aRbjJAQtVtMhXuf3vBkiefWWJtbYdpuqrFbHuKPmsLusD1Qmf2ge%2BrufpCO7m6iFQ18lUY49HlBtNyvk%2BHq4sD795%2BEI%2BS5I10Yf78IcNAiRTIXdmlF05XTttLRfIpoh5NKWeeKdrv26wW2%2BcXTkFE9r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu6EONjKKX1XT0AqVGw1uqIz4IWkgdTqj%2FpnrIdbmZsiHcRNvmkCkGTEGnQxjgQGSKt4FjelthmoKqLEaG42HnYARiX1RmgkrRjLnMQUuScN1w5S3NOu2ldI%2FeVckg7A4HO6Luth5dJsXXR8egVnkVYb2FZtprpO86fbJujsp%2FzBgzfNVo1KcSVSazeZg7M%2BAaRMUdV9W3qKuaDhpOhH8NbFudC5fRFXANIypmUkbQe%2FCAOdnN5UaQjxdQUwRhyv1KOibQvORXy3kCbS4v9reb1WhVVugDoa8TkIoiBZ2S1OIbRVkz1Nq5oOW4jWhDsWOAnUCNDfuwEW4rd%2FJMP7AvAsphM4Xkqwer6KAYBzWkB5nE6xlxRKxvQ7OEQ07Ymy1auo4JD2UeWy1UFtTI1PHBqRpOetgRkh5v98RvjLv8GYvBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=58238239534&catId=50001519
Apple 정품 아이폰 15 자급제,"960,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=OdkBKV23ZEqLGYG6deBiSv%2F%2F%2Fw%3D%3DsdAoZcjcn4jBLltjHTEWok7O5Q3Z73UQ%2F6U0gilPkCwZyoYErd7Wx1dfdVO6hh7qVN0Z69lwElCSrqkXKntH9Y8KdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiB49gWwo4YAEWGPlnOMWQUB4qPKnSzTV71gbnTAjWaxQ%2BnKrLrl5wIXxDQonmvwmQ%2FfjXuvr2Cw18jrW1jOqVsj0LRT%2FpqKa7hfxa4vku7TodA6uYvM3L5eJFMQX93yf8DBwSu8NyUQtJl7ucH5HotwPMpIH45KUfDW1s%2F53v59Z7Yk2TEsld86f%2FYt3AADW1xJhS5dmARgxIF9Xqb7UhI5k5b35ddtoEpJzAjdaX4YY7L%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGLFO9EOH2ERyRaFxQ05bKaayz3ExRYuPVIG6YDxGLVSdDG4evy%2BM13j64UYOnhTyGUWrQYdwQNgfl5kLUrYkI%2Fl8igSuVEYwQPUKBRz%2F2EN2%2BQaZNgYJHHKeII8hfQtwaU87cyhA9arDk8UyxtT4F3sNS1uzNa2ebbG3dqKyEcCG2eEYsZZscLV255ERmYmQ3W8xR1FRMoUhrxI8qCrZ40obRaP6y3G7ZwSlR7EuB%2BYvW4752Lh67ojx%2FH%2BAVLjrlgagpmAeiQ9aPx8Zq%2Fuu3xSJJpc8bOVexH7V8kWpA5RkNiFgIp6Q8IO9tMwX%2FAlClws5cc3BuwdQCJvU8f8dl0JF2%2Bl4vxGaalO3D46rFxuJWCfZBwUWEihiVI7Mz3KeTh0cjwVm1BUYVknE7IEMpz4%3D&nvMid=55292968180&catId=50001519
Apple 아이폰 16e 자급제,"769,900원",배송비무료,https://cr.shopping.naver.com/adcr?x=hgLmO%2BdIm0NQ2qBdrpkfEP%2F%2F%2Fw%3D%3DscUv%2BHHjWKfP8i5Q2LkLvrXHVCjT%2BAAOapQJWoWucsC9yoYErd7Wx1dfdVO6hh7qVnjxxDwQdrT7gyJrVTx5S9cKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiB49gWwo4YAEWGPlnOMWQUB4qPKnSzTV71gbnTAjWaxQ%2F8dKghfCYC%2FdsKLtfdOGxuLSOJ8RszYRV8SMF7WoEwd%2BtJnfZWGr9xagcbhNEukh3X8NkbAxocKezWN6GzceWgHJ5bhmckVmk2pE1j9uy4yCP1YPZLhS8n3SiJ0ae67GklpdZGM3xCJGgPxjTV9om8JhS5dmARgxIF9Xqb7UhI5k5b35ddtoEpJzAjdaX4YY7L%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGMXTi9W88cArOWTIo08z%2FpFeKTQ5y6GmuejsdVbe2q9JDG4evy%2BM13j64UYOnhTyGUWrQYdwQNgfl5kLUrYkI%2Fl8igSuVEYwQPUKBRz%2F2EN2%2BQaZNgYJHHKeII8hfQtwaU87cyhA9arDk8UyxtT4F3s1%2FnY%2BZuYUeNa4XtP8VL3YZfDBreiWSa4ureBayhfnKMzWXB9DLtKtEf8SyGaf8R1chD%2FnPbHgj4inxMKBwng0qoPrmFTFB61l860TKYMK9LTRs2VEzarNVf99gC2jbyE66y6C55eMDRdHFBjmet8BwpHdgqUP2oYCXqBf0e9k7sWiCUC6Td0QSAXj5vxqYhOTaz3eV8WrUzSxHoUfoDeBVoWd0jB03C5aYq3HUc1IKtSSLJQZncWk8e8Ttfjz6Fs%3D&nvMid=59055219299&catId=50001519
해외애플 아이폰17 홍콩판 물리심+e심 무음 자급제 공기계 홍콩폰 256GB,"1,394,500원",배송비무료,https://cr.shopping.naver.com/adcr?x=HRRlj9Ji8TRtHRZi146Umv%2F%2F%2Fw%3D%3DsBspcFIT%2FwWdC82kcR%2BES4WlWVJap4GKbifD77XQM5Z%2FxTAJR5s3V3RheLYZrm3hTz3KLJECt8Jxn4O6qQy%2BD%2BWg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUEfgrM5HQzlTMQ9S1ZukRB54Qz6BmkUWnhlyhzEn3pxv5pu%2F3%2FpQ545OibOGRoXWVRL6iu0rN9ANYEXkZX8p%2BoSEm%2FeWMmjv1VUimPr%2BbdY5uNr9y4ZJv90EqlG67V46%2Bri3UMVU2rBl19rigmU%2F%2FbAlIoSvKTA%2Ffvxn7nqCVPzyk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdKo37yfHA607ZppT6xqnQrBBopgI5MN2N15t%2BuSeqM5JcRNvmkCkGTEGnQxjgQGSKt4FjelthmoKqLEaG42HnYARiX1RmgkrRjLnMQUuScN1w5S3NOu2ldI%2FeVckg7A4HO6Luth5dJsXXR8egVnkVYamuKLuGLuSekErD%2FPt302YzfNVo1KcSVSazeZg7M%2BAaXy6g8F%2BGfDgU%2FNa1Hahj4PXMQdmTVrhLKzx9JhR3VOUmB1%2FH6OdX92dgUHJqNr5huGiTE3E3enPfO%2BmV9c1jvZZBECVq%2BuPh8T%2BW4H5mxKBjQgCyXzexxfGmmjRxd7Cx1xXFqMr1YfHgkJir7xSfg6vk%2BlbILuz1COEuoLHDa82sQocLEGGa0wsleHc2pFkre9y3fay%2FzFNgad95BdoWnbBR8GiiuR8ENgr2lL%2BMu%2BPFjeyT99i1YYMfnX4SfFhX8tVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=89926063437&catId=50001519
애플 아이폰 16 프로 맥스 256GB 새제품 미개봉,"1,280,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=0v6YLHthIUKpvwIyrY6LYP%2F%2F%2Fw%3D%3Ds%2FpGzxb0LKeMVZJexECuyPLZ3U0iwli%2BOM%2B1hhuP1HjlyoYErd7Wx1dfdVO6hh7qV8odpKMtCFVr9dKYlWB4IyMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojWepE%2BC3XPUi4bwe%2B6A28OZyc5HtxS5hSFJfUgnF%2F6MKz7xM%2FbRzMnUeox4iL%2BtiByaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF2Y4MgKTj0giA5ZVfWbCzS00CJDJlVzUv6Hh7a9pJH55RKy3LoYl2rVajvOxbF9h7C54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyOzPxknTTayFr%2By4XkDt0lSAixnWzabim34zkcem3JwmzjjcPhnQ4aXZmKCZFjijQh%2FdtBz8mmlCkJPNgK2vw%2BGRf1dGzLm8D7yYG4pH4hQy3SCAsfE%2By9DKw4IplSG4NV%2Bxpu%2FKx8EJJQ288TPJFYDZGAYbkCgHe5F26HxJq4onMYDDdzNre1M1QamiRj7jDYJnHSayiD1WnUv4ZjyjhaOYNV1Jep0ldx7VPr0eqksjvBMTvtwZV6Fu7TzyTR1JnH8PdoEUEXxo7WgFw6awYtRdnvoolkKVNouiKxvFitIQBGNtXslhkHaHmGhd3X9Guwz%2FukRIYzBgWngyARGI6Bjhg%2FqMkrifStM%2BiwwyoWI1xqHFka5oO66piWPcli1L5XOLszQfPS39kaM0MupuVMJvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=89711759353&catId=50001519
아이폰 16프로 256GB Apple 미개봉 새상품,"814,090원",배송비무료,https://cr.shopping.naver.com/adcr?x=h12bmFmacb2Xu0y%2FRzTCjv%2F%2F%2Fw%3D%3DscCDgENoF6hWvTpiE0zvqAPgXO96kr5sP7z1P5%2BOg75gAjU5j3gjlMYsRq8%2BGHFpS67T%2FywGEAQv04ENZBhxv3DXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcViUIblkks2eyOgX%2BoRrcWw9o3nY7XhpnrMTEPxBahsZVWdw2WpgtT4qzFy1Pl2l9a86k8cABegJR%2B1SSj2e%2F0oZJ%2FOgGCyGKY9VVNn1Hm0TYzjeOg5eZGBJjouOds%2Bh7JFOjygacoNtzbKjYQ1jLSD5YU9vVLAk%2Ban5%2Fl8VgH%2F0h%2Fa%2BYgLvEhZB6L4mu1RVPsafG1XbewK9ubVcEB9KkD%2BbLUG67TDJ1VcCCUrDWT6kgEmpJPAO4DDQQoL%2B%2F2fvyxth0KsdomSHqy5ZWXIJHaq99%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh478W87NoPmDuMTIiirnlTxgdjrdGqXPBoIJH1%2BI43vaV%2FlLnJwMa7Bt8R2%2FUDqQrCFQ64n%2B%2BnApEziySbpZdOu3Q590%2B5QtOeaY4bB1no090c1r%2BsZ%2FbjJH2R24XqYStWMFBqPYeE32IrAN96hjJ9ZbPvzNYOrer9WuAhNqSDkQ1pBJRHrjsZ18J9%2B%2FbGMCfAIcE7ONtcdOnPfQltEK2Z8%2BJ929YIXDB6IapBguDgPYg0ygZ9zdAMkDAHdbpmCTVYq4S2UyYSnSQlj7JTM4AbZAvqet95udyQkKqCpL%2FVScj%2BzVkU%2FLYrOBp7XpBMwJQ1cKnGuzTtiGmzLIjzCy2T8vQjf4rJV5QK4Q2sntWyiHgoK6Q36exVJsFubm8NlEsZn1aidtZvRFs5mU00SYr9Sw4SwcLvxUEucVmH%2BcOht40%3D&nvMid=58489811341&catId=50001519
